,Company,url,Category,Sub-Category,industry,sub_category,financials.arr_max,financials.arr_min,financials.revenue_2016,financials.revenue_2017,financials.num_customers_max,financials.num_customers_min
137,Influitive,influitive.com,Social & Relationships,"Advocacy, Loyalty & Referrals",Marketing Automation,Influencer Marketing,,10000000.0,8000000,10000000.0,270.0,270.0
138,Perkville,perkville.com,Social & Relationships,"Advocacy, Loyalty & Referrals",Marketing Automation,Loyalty Rewards,3000000.0,2400000.0,1800000,2400000.0,23000.0,23000.0
139,Referral Saasquatch,referralsaasquatch.com,Social & Relationships,"Advocacy, Loyalty & Referrals",Marketing Automation,Referral marketing,1000000.0,1000000.0,500000,1080000.0,100.0,100.0
140,Zinrelo,zinrelo.com,Social & Relationships,"Advocacy, Loyalty & Referrals",Marketing Automation,Loyalty Rewards,12000000.0,9500000.0,6300000,9600000.0,500.0,500.0
141,Hypr,hyprbrands.com,Social & Relationships,Influencers,Marketing Automation,Influencer Marketing,9000000.0,,1300000,7560000.0,200.0,200.0
142,Influenster,influenster.com,Social & Relationships,Influencers,Marketing Automation,Influencer Marketing,15000000.0,12000000.0,10000000,12000000.0,,150.0
143,Insightpool,insightpool.com,Social & Relationships,Influencers,Marketing Automation,Influencer Marketing,3600000.0,3600000.0,3600000,3600000.0,100.0,100.0
144,Markerly,markerly.com,Social & Relationships,Influencers,Marketing Automation,Influencer Marketing,0.0,720000.0,720000,720000.0,100.0,30.0
145,BirdEye,birdeye.com,Social & Relationships,Community & Reviews,Marketing Automation,,30000000.0,21600000.0,13000000,21600000.0,10000.0,10000.0
146,introNetworks,intronetworks.com,Social & Relationships,Community & Reviews,Human Resources,Recruiting,12000000.0,12000000.0,12000000,12000000.0,50.0,50.0
147,Podium,podium.com,Social & Relationships,Community & Reviews,Marketing Automation,Influencer Marketing,12000000.0,12000000.0,12000000,,6500.0,6500.0
148,ShopperApproved,shopperapproved.com,Social & Relationships,Community & Reviews,Marketing Automation,Customer Reviews,6000000.0,6000000.0,3700000,6000000.0,7000.0,7000.0
149,Pulse insights,pulseinsights.com,Social & Relationships,Feedback & Chat,Marketing Automation,Customer Feedback,,1000000.0,500000,960000.0,,10.0
150,Pure Chat,purechat.com,Social & Relationships,Feedback & Chat,Sales Automation,Customer Engagement and Onboarding,1300000.0,1300000.0,780000,1296000.0,,4000.0
151,Qualtrics,qualtrics.com,Social & Relationships,Feedback & Chat,Business Intelligence,Industry Data,,250000000.0,249600000,249600000.0,9000.0,9000.0
152,Rant & Rave,rantandrave.com,Social & Relationships,Feedback & Chat,Sales Automation,Customer Engagement and Onboarding,,28000000.0,20000000,27600000.0,285.0,285.0
153,Tagove,tagove.com,Social & Relationships,Feedback & Chat,Sales Automation,CRM,780000.0,780000.0,120000,780000.0,1300.0,1300.0
154,CloudCherry,getcloudcherry.com,Social & Relationships,"Customer Experience, Service & Success",Human Resources,Support,1200000.0,1000000.0,333333,1056000.0,100.0,100.0
155,HelpScout,helpscout.net,Social & Relationships,"Customer Experience, Service & Success",Misc,Customer Service,15120000.0,15120000.0,6000000,15120000.0,9000.0,9000.0
156,Kustomer,kustomer.com,Social & Relationships,"Customer Experience, Service & Success",Sales Automation,CRM,,1200000.0,1200000,1200000.0,10000.0,1000.0
157,Optimove,optimove.com,Social & Relationships,"Customer Experience, Service & Success",Sales Automation,CRM,100000000.0,25000000.0,13500000,27816000.0,,214.0
158,Pendo,pendo.io,Social & Relationships,"Customer Experience, Service & Success",Sales Automation,Customer Engagement and Onboarding,14400000.0,14400000.0,4800000,14400000.0,400.0,400.0
159,Apptivo,apptivo.com,Social & Relationships,CRM,Sales Automation,CRM,9600000.0,8400000.0,8400000,8400000.0,80000.0,80000.0
160,Batchbook,batchbook.com,Social & Relationships,CRM,Sales Automation,CRM,5040000.0,5040000.0,5040000,,10000.0,10000.0
161,Contactually,contactually.com,Social & Relationships,CRM,Sales Automation,CRM,8400000.0,8400000.0,8400000,8400000.0,12000.0,12000.0
162,Neon,neoncrm.com,Social & Relationships,CRM,Sales Automation,CRM,8000000.0,6000000.0,5400000,6000000.0,3000.0,3000.0
163,Nimble,nimble.com,Social & Relationships,CRM,Sales Automation,CRM,2700000.0,2700000.0,2000000,2700000.0,10500.0,10500.0
164,ProsperWorks,prosperworks.com,Social & Relationships,CRM,Sales Automation,CRM,24000000.0,24000000.0,24000000,,40000.0,40000.0
165,Salesflare,salesflare.com,Social & Relationships,CRM,Sales Automation,CRM,360000.0,36000.0,36000,36000.0,1000.0,100.0
166,Vtiger,vtiger.com,Social & Relationships,CRM,Sales Automation,CRM,3600000.0,3600000.0,2640000,3600000.0,3000.0,3000.0
167,Celect,celect.com,Commerce & Sales,"Retail, Proximity & IoT Marketing",Business Intelligence,Internal Data,6000000.0,6000000.0,2400000,6000000.0,20.0,10.0
168,Enplug,enplug.com,Commerce & Sales,"Retail, Proximity & IoT Marketing",Marketing Automation,,4800000.0,4800000.0,2400000,4800000.0,,1000.0
169,Infoscout,infoscout.co,Commerce & Sales,"Retail, Proximity & IoT Marketing",Business Intelligence,Internal Data,45000000.0,30000000.0,15000000,45999264.0,184.0,184.0
170,Chatmeter,chatmeter.com,Commerce & Sales,"Channel, Partner & Local Marketing",Marketing Automation,SEO,,10000000.0,9000000,9960000.0,1000.0,100.0
171,Fision,fisiononline.com,Commerce & Sales,"Channel, Partner & Local Marketing",Team Communication,File Management,,1000000.0,500000,999996.0,100.0,25.0
172,GrowSumo,growsumo.com,Commerce & Sales,"Channel, Partner & Local Marketing",Marketing Automation,Affiliate Marketing,3600000.0,,3600000,3600000.0,200.0,200.0
173,Logicbay,logicbay.com,Commerce & Sales,"Channel, Partner & Local Marketing",Sales Automation,CRM,15000000.0,10000000.0,9090000,9999996.0,,60.0
174,Socialrep,socialrep.com,Commerce & Sales,"Channel, Partner & Local Marketing",Business Intelligence,Social Data,1200000.0,800000.0,500000,799992.0,3.0,3.0
175,Structuredweb,structuredweb.com,Commerce & Sales,"Channel, Partner & Local Marketing",Marketing Automation,Content Marketing,8640000.0,8640000.0,7200000,8640000.0,36.0,36.0
176,Cirrus Insight,cirrusinsight.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,CRM,14400000.0,12000000.0,7680000,12000000.0,150000.0,150000.0
177,Cliently,cliently.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Marketing Automation,Email Marketing,40000.0,40000.0,39996,,13.0,13.0
178,Close.io,close.io,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,CRM,,2400000.0,2400000,,5000.0,500.0
179,Datanyze,datanyze.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Business Intelligence,Industry Data,6000000.0,6000000.0,6000000,,500.0,500.0
180,DialSource,dialsource.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,Calls,27600000.0,12000000.0,9000000,12000000.0,1000.0,200.0
181,DocSend,docsend.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,Document Signing,,1200000.0,1200000,1200000.0,,10000.0
182,Fileboard,fileboard.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,Schedule Meetings,20400000.0,20400000.0,20400000,,800.0,800.0
183,FullContact,fullcontact.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,Contact Data,120000000.0,12000000.0,12000000,,,50000.0
184,GetAccept,getaccept.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,Document Signing,1700000.0,1700000.0,528000,670000.0,4700.0,4700.0
185,HG Focus,hgdata.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,Contact Data,12000000.0,10000000.0,9996000,,200.0,200.0
186,LeadFuze,leadfuze.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Marketing Automation,Lead Generation,367500.0,367500.0,294000,367500.0,175.0,175.0
187,LeadGnome,leadgnome.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Marketing Automation,Lead Generation,500000.0,200000.0,100000,249600.0,100.0,12.0
188,Nova.ai,nova.ai,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,Email Communication,,1800000.0,1800000,1800000.0,1000.0,1000.0
189,OneMob,onemob.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,CRM,2400000.0,2400000.0,1200000,2400000.0,10000.0,10000.0
190,Outreach,outreach.io,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,CRM,63360000.0,63360000.0,33600000,63360000.0,2200.0,2200.0
191,Pipedrive,pipedrive.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,CRM,,12000000.0,12000000,,30000.0,30000.0
192,PredictLeads,predictleads.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Business Intelligence,Industry Data,300000.0,150000.0,150000,150000.0,30.0,30.0
193,ProLeads,proleads.io,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Marketing Automation,Lead Generation,450000.0,90000.0,90000,90000.0,500.0,100.0
194,Proposable,proposable.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,Document Management,300000.0,300000.0,300000,300000.0,300.0,300.0
195,Prospect.io,prospect.io,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,Contact Data,636000.0,636000.0,163200,636000.0,650.0,650.0
196,Repsly,repsly.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,CRM,4200000.0,4200000.0,2000000,4200000.0,1000.0,1000.0
197,Showpad,showpad.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,Sales Enablement,30000000.0,30000000.0,20000000,30000000.0,1000.0,1000.0
198,The SaaS Co.,thesaas.co,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Marketing Automation,Lead Generation,1080000.0,1080000.0,600000,1080000.0,20.0,20.0
199,Tilkee,tilkee.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,Document Signing,1200000.0,1200000.0,1200000,,800.0,800.0
200,Toofr,toofr.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Marketing Automation,,216000.0,216000.0,216000,216000.0,100.0,100.0
201,Troops,troops.ai,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Technical Solutions,Machine Learning,,1000000.0,9999996,9999996.0,,200.0
202,Unomy,unomy.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,Contact Data,2000000.0,2000000.0,1992000,,100.0,100.0
203,Winmo,winmo.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Business Intelligence,Industry Data,20988000.0,14000004.0,14000004,14000004.0,3000.0,2000.0
204,Xactly,xactlycorp.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation, Sales Performance Management,201600000.0,201600000.0,201600000,201600000.0,1400.0,1400.0
205,Yesware,yesware.com,Commerce & Sales,"Sales Automation, Enablement & Intelligence",Sales Automation,CRM,30000000.0,10000000.0,9996000,,1666.0,1666.0
206,Leaddyno,leaddyno.com,Commerce & Sales,Affiliate Marketing & Management,Marketing Automation,Affiliate Marketing,1044000.0,1044000.0,720000,1044000.0,3000.0,3000.0
207,Linktrust,linktrust.com,Commerce & Sales,Affiliate Marketing & Management,Marketing Automation,Affiliate Marketing,4000000.0,1000000.0,996000,996000.0,110.0,110.0
208,Brightpearl,brightpearl.com,Commerce & Sales,Ecommerce Marketing,Sales Automation,CRM,11500000.0,11350000.0,7700000,11496000.0,913.0,913.0
209,Etailinsights,etailinsights.com,Commerce & Sales,Ecommerce Marketing,Business Intelligence,Industry Data,1350000.0,1350000.0,1350000,,150.0,150.0
210,Feedvisor,feedvisor.com,Commerce & Sales,Ecommerce Marketing,Marketplace,E-Commerce,18000000.0,15000000.0,15000000,15000000.0,600.0,500.0
211,Getmetrilo,metrilo.com,Commerce & Sales,Ecommerce Marketing,Sales Automation,CRM,810000.0,810000.0,216000,810000.0,450.0,450.0
212,loop54,loop54.com,Commerce & Sales,Ecommerce Marketing,Sales Automation,SEO,3100000.0,3100000.0,1600000,3120000.0,130.0,130.0
213,SaleCycle,salecycle.com,Commerce & Sales,Ecommerce Marketing,Marketing Automation,Retargeting,30000000.0,30000000.0,20400000,30000000.0,500.0,500.0
214,smartassistant,smartassistant.com,Commerce & Sales,Ecommerce Marketing,Sales Automation,Customer Engagement and Onboarding,50000000.0,12000000.0,12000000,12000000.0,100.0,100.0
215,Skubana,skubana.com,Commerce & Sales,Ecommerce Platforms & Carts,Business Intelligence,Internal Data,18000000.0,18000000.0,3600000,18000000.0,1000.0,1000.0
216,Ace Metrix,acemetrix.com,Data,Audience/Marketing Data & Data Enhancement,Business Intelligence,Advertising Analytics,12000000.0,12000000.0,9600000,12000000.0,100.0,95.0
217,AeroLeads,aeroleads.com,Data,Audience/Marketing Data & Data Enhancement,Marketing Automation,Lead Generation,360000.0,360000.0,144000,360000.0,200.0,200.0
218,Bombora,bombora.com,Data,Audience/Marketing Data & Data Enhancement,Marketing Automation,Lead Generation,10000000.0,10000000.0,10000000,9999996.0,,4000.0
219,DiscoverOrg,discoverorg.com,Data,Audience/Marketing Data & Data Enhancement,Sales Automation,Contact Data,165000000.0,165000000.0,70000000,165000000.0,4500.0,4500.0
220,Komiko,komiko.com,Data,Audience/Marketing Data & Data Enhancement,Sales Automation,CRM,840000.0,720000.0,120000,720000.0,50.0,50.0
221,LeadGenius,leadgenius.com,Data,Audience/Marketing Data & Data Enhancement,Sales Automation,Contact Data,8400000.0,8400000.0,8400000,,200.0,200.0
222,Leadiro,leadiro.com,Data,Audience/Marketing Data & Data Enhancement,Sales Automation,Contact Data,600000.0,600000.0,600000,,20.0,20.0
223,Owler,owler.com,Data,Audience/Marketing Data & Data Enhancement,Business Intelligence,Industry Data,0.0,0.0,0,,0.0,0.0
224,Rocketreach,rocketreach.co,Data,Audience/Marketing Data & Data Enhancement,Sales Automation,Contact Data,42000000.0,840000.0,840000,840000.0,50000.0,1000.0
225,Versium,versium.com,Data,Audience/Marketing Data & Data Enhancement,Business Intelligence,Predictive Analytics,7000000.0,7000000.0,6999996,6999996.0,500.0,500.0
226,BrightFunnel,brightfunnel.com,Data,"Marketing Analytics, Performance & Attribution",Marketing Automation,Advertising Analytics,3500000.0,3500000.0,3480000,3480000.0,70.0,70.0
227,Full Circle Insights,fullcircleinsights.com,Data,"Marketing Analytics, Performance & Attribution",Business Intelligence,Website Analytics,4000000.0,4000000.0,3600000,6000000.0,150.0,150.0
228,MSIGHTS,msights.com,Data,"Marketing Analytics, Performance & Attribution",Business Intelligence,Advertising Analytics,4500000.0,4100000.0,3210000,3168000.0,20.0,
229,Musqot Marketing Technology,musqot.com,Data,"Marketing Analytics, Performance & Attribution",Marketing Automation,Paid Marketing,1200000.0,1200000.0,500000,1200000.0,60.0,60.0
230,TapClicks,tapclicks.com,Data,"Marketing Analytics, Performance & Attribution",Marketing Automation,Dashboards,13200000.0,13200000.0,8000000,13200000.0,3000.0,3000.0
231,Crazy Egg,crazyegg.com,Data,Mobile & Web Analytics,Business Intelligence,Website Analytics,,1200000.0,1200000,1200000.0,,4000.0
232,Localytics,localytics.com,Data,Mobile & Web Analytics,Business Intelligence,App Analytics,,29000000.0,29520000,29520000.0,600.0,600.0
233,Lucky Orange,luckyorange.com,Data,Mobile & Web Analytics,Business Intelligence,Website Analytics,3600000.0,1800000.0,1800000,1800000.0,15000.0,15000.0
234,Woopra,woopra.com,Data,Mobile & Web Analytics,Business Intelligence,Industry Data,3600000.0,3600000.0,3600000,,1000.0,1000.0
235,Databox,databox.com,Data,Dashboards & Data Visualization,Business Intelligence,Dashboards,1092000.0,1092000.0,276000,1092000.0,650.0,650.0
236,Klipfolio,klipfolio.com,Data,Dashboards & Data Visualization,Business Intelligence,Dashboards,7200000.0,6000000.0,6000000,6000000.0,8500.0,8500.0
237,Screenful,screenful.com,Data,Dashboards & Data Visualization,Business Intelligence,Dashboards,180000.0,180000.0,72000,180000.0,300.0,300.0
238,Looker,looker.com,Data,Business/Customer Intelligence & Data Science,Business Intelligence,Internal Data,,85000000.0,28800000,79000000.0,1300.0,1200.0
239,Profitwell,profitwell.com,Data,Business/Customer Intelligence & Data Science,Business Intelligence,Internal Data,12000000.0,8000000.0,3600000,7992000.0,500.0,
240,RJMetrics,rjmetrics.com,Data,Business/Customer Intelligence & Data Science,Business Intelligence,Industry Data,,3999996.0,3999996,3999996.0,400.0,400.0
241,SigOpt,sigopt.com,Data,Business/Customer Intelligence & Data Science,Technical Solutions,Data Crunching,720000.0,600000.0,600000,600000.0,12.0,12.0
242,Astronomer,astronomer.io,Data,"iPaaS, Cloud/Data Integration & Tag Management",Connecting Data Sources,,720000.0,720000.0,600000,720000.0,20.0,20.0
243,elastic.io,elastic.io,Data,"iPaaS, Cloud/Data Integration & Tag Management",Technical Solutions,Connecting Data Sources,2400000.0,,1200000,2400000.0,200.0,200.0
244,ObservePoint,observepoint.com,Data,"iPaaS, Cloud/Data Integration & Tag Management",Business Intelligence,Advertising Analytics,,10000000.0,5000000,9996000.0,250.0,250.0
245,Segment,segment.com,Data,"iPaaS, Cloud/Data Integration & Tag Management",Technical Solutions,Connecting Data Sources,,96000000.0,96000000,96000000.0,4000.0,4000.0
246,SnapLogic,snaplogic.com,Data,"iPaaS, Cloud/Data Integration & Tag Management",Technical Solutions,Connecting Data Sources,100000000.0,90000000.0,90000000,90000000.0,750.0,750.0
247,Talend Open Source Integration,talend.com,Data,"iPaaS, Cloud/Data Integration & Tag Management",Business Intelligence,Internal Data,150000000.0,140000000.0,100000000,132000000.0,,1500.0
248,Workato,workato.com,Data,"iPaaS, Cloud/Data Integration & Tag Management",Technical Solutions,Connecting Data Sources,,30000000.0,10000000,30000000.0,1000.0,1000.0
249,Zapier,zapier.com,Data,"iPaaS, Cloud/Data Integration & Tag Management",Technical Solutions,Connecting Data Sources,,20000000.0,19999992,19999992.0,,60000.0
250,Radius,radius.com,Data,Predictive Analytics,Sales Automation,Contact Data,0.0,0.0,0,,500.0,100.0
251,HireMojo,hiremojo.com,Management,Talent Management,Human Resources,Recruiting,2400000.0,2400000.0,720000,2400000.0,200.0,200.0
252,JazzHR,jazzhr.com,Management,Talent Management,Human Resources,Recruiting,9000000.0,9000000.0,7200000,8000000.0,3500.0,3500.0
253,Jobscience,jobscience.com,Management,Talent Management,Human Resources,Recruiting,18000000.0,18000000.0,12000000,18000000.0,500.0,500.0
254,RecruiterBox,recruiterbox.com,Management,Talent Management,Human Resources,Recruiting,6000000.0,4000000.0,2700000,3996000.0,2100.0,2100.0
255,SwoopTalent,swooptalent.com,Management,Talent Management,Human Resources,Recruiting,2295000.0,2295000.0,600000,2280000.0,27.0,27.0
256,Weekdone,weekdone.com,Management,Talent Management,Team Communication,Project Management,900000.0,900000.0,420000,900000.0,900.0,900.0
257,Workable,workable.com,Management,Talent Management,Human Resources,Recruiting,20000000.0,20000000.0,14000000,19992000.0,6000.0,6000.0
258,Atlassian,atlassian.com,Management,Product Management,Team Communication,Project Management,1000000000.0,1000000000.0,548000000,740000000.0,,
259,Wrike,wrike.com,Management,Product Management,Team Communication,Project Management,,88800000.0,28800000,50000000.0,18000.0,18000.0
260,Host Analytics,hostanalytics.com,Management,Budgeting & Finance,Business Intelligence,Internal Data,50000000.0,40000000.0,48000000,48000000.0,700.0,700.0
261,Doodle,doodle.com,Management,Collaboration,Misc,Scheduling,750000.0,750000.0,750000,750000.0,30000.0,25000.0
262,Front,frontapp.com,Management,Collaboration,Human Resources,Communication,8712000.0,8712000.0,2904000,8712000.0,1700.0,1700.0
263,Hiver,hiverhq.com,Management,Collaboration,Team Communication,Project Management,1380000.0,1380000.0,1380000,1380000.0,1000.0,1000.0
264,Jostle,jostle.me,Management,Collaboration,Human Resources,Communication,12000000.0,6000000.0,6000000,6000000.0,500.0,500.0
265,Ryver,ryver.com,Management,Collaboration,Team Communication,Communication,1000000.0,840000.0,840000,840000.0,2000.0,1000.0
266,Sococo,sococo.com,Management,Collaboration,Team Communication,Task Management,2700000.0,2700000.0,1800000,2700000.0,300.0,300.0
267,Zinc,zinc.it,Management,Collaboration,Team Communication,Communication,,1000000.0,999996,999996.0,70.0,70.0
268,Agiloft,agiloft.com,Management,Projects & Workflow,Sales Automation,CRM,50000000.0,10000000.0,9996000,9996000.0,,1000.0
269,Assembla,assembla.com,Management,Projects & Workflow,Technical Solutions,Code Management,12000000.0,10800000.0,6500000,10800000.0,3500.0,3500.0
270,Dapulse,dapulse.com,Management,Projects & Workflow,Team Communication,Project Management,,13000000.0,6500000,17000000.0,15000.0,15000.0
271,LiquidPlanner,liquidplanner.com,Management,Projects & Workflow,Team Communication,Project Management,15000000.0,5000000.0,7392000,,1800.0,1800.0
272,MavenLink,mavenlink.com,Management,Projects & Workflow,Team Communication,Project Management,0.0,0.0,0,,10000.0,5000.0
273,Process Street,process.st,Management,Projects & Workflow,Team Communication,Project Management,960000.0,840000.0,840000,840000.0,1000.0,500.0
274,ProcessMaker,processmaker.com,Management,Projects & Workflow,Technical Solutions,Connecting Data Sources,10000000.0,10000000.0,10500000,10500000.0,350.0,350.0
275,Pipefy,pipefy.com,Management,Agile & Lean Management,Technical Solutions,Connecting Data Sources,600000.0,600000.0,600000,600000.0,400.0,400.0
276,Teamwork.com,teamwork.com,Management,Agile & Lean Management,Team Communication,Project Management,18000000.0,18000000.0,12000000,18000000.0,20000.0,20000.0
277,CB Insights,cbinsights.com,Management,Vendor Analysis,Business Intelligence,Industry Data,20000000.0,12000000.0,18000000,,500.0,500.0
